frame,_1:Root_x,_1:Root_y,_1:Root_z,_1:Hips_x,_1:Hips_y,_1:Hips_z,_1:Spine_x,_1:Spine_y,_1:Spine_z,_1:Spine1_x,_1:Spine1_y,_1:Spine1_z,_1:RightShoulder_x,_1:RightShoulder_y,_1:RightShoulder_z,_1:RightArm_x,_1:RightArm_y,_1:RightArm_z,_1:RightForeArm_x,_1:RightForeArm_y,_1:RightForeArm_z,_1:RightHand_x,_1:RightHand_y,_1:RightHand_z,_1:palm.01.R_x,_1:palm.01.R_y,_1:palm.01.R_z,_1:RightHandIndex1_x,_1:RightHandIndex1_y,_1:RightHandIndex1_z,_1:RightHandThumb1_x,_1:RightHandThumb1_y,_1:RightHandThumb1_z,_1:RightHandThumb2_x,_1:RightHandThumb2_y,_1:RightHandThumb2_z,_1:palm.02.R_x,_1:palm.02.R_y,_1:palm.02.R_z,_1:RightHandMiddle1_x,_1:RightHandMiddle1_y,_1:RightHandMiddle1_z,_1:RightHandRing1_x,_1:RightHandRing1_y,_1:RightHandRing1_z,_1:RightHandPinky1_x,_1:RightHandPinky1_y,_1:RightHandPinky1_z,_1:LeftShoulder_x,_1:LeftShoulder_y,_1:LeftShoulder_z,_1:LeftArm_x,_1:LeftArm_y,_1:LeftArm_z,_1:LeftForeArm_x,_1:LeftForeArm_y,_1:LeftForeArm_z,_1:LeftHand_x,_1:LeftHand_y,_1:LeftHand_z,_1:LeftHandThumb1_x,_1:LeftHandThumb1_y,_1:LeftHandThumb1_z,_1:LeftHandThumb2_x,_1:LeftHandThumb2_y,_1:LeftHandThumb2_z,_1:palm.02.L_x,_1:palm.02.L_y,_1:palm.02.L_z,_1:LeftHandMiddle1_x,_1:LeftHandMiddle1_y,_1:LeftHandMiddle1_z,_1:LeftHandRing1_x,_1:LeftHandRing1_y,_1:LeftHandRing1_z,_1:LeftHandPinky1_x,_1:LeftHandPinky1_y,_1:LeftHandPinky1_z,_1:palm.01.L_x,_1:palm.01.L_y,_1:palm.01.L_z,_1:LeftHandIndex1_x,_1:LeftHandIndex1_y,_1:LeftHandIndex1_z,_1:Neck_x,_1:Neck_y,_1:Neck_z,_1:Head_x,_1:Head_y,_1:Head_z,_1:Head_end_x,_1:Head_end_y,_1:Head_end_z,_1:LeftUpLeg_x,_1:LeftUpLeg_y,_1:LeftUpLeg_z,_1:LeftLeg_x,_1:LeftLeg_y,_1:LeftLeg_z,_1:LeftFoot_x,_1:LeftFoot_y,_1:LeftFoot_z,_1:LeftToeBase_x,_1:LeftToeBase_y,_1:LeftToeBase_z,_1:heel.02.L_x,_1:heel.02.L_y,_1:heel.02.L_z,_1:RightUpLeg_x,_1:RightUpLeg_y,_1:RightUpLeg_z,_1:RightLeg_x,_1:RightLeg_y,_1:RightLeg_z,_1:RightFoot_x,_1:RightFoot_y,_1:RightFoot_z,_1:RightToeBase_x,_1:RightToeBase_y,_1:RightToeBase_z,_1:heel.02.R_x,_1:heel.02.R_y,_1:heel.02.R_z
50,0.0,0.0,0.0,60.00391387939453,341.3689270019531,60.41357421875,61.19832229614258,332.5532531738281,75.91925811767578,58.70924377441406,325.9181213378906,89.53602600097656,56.22016525268555,319.2829895019531,103.15279388427734,69.61834716796875,316.40496826171875,106.59730529785156,69.41960906982422,334.0430603027344,126.4962387084961,69.06034851074219,348.4332580566406,142.86595153808594,70.41083526611328,350.24224853515625,142.97203063964844,68.4792251586914,351.2456359863281,150.4520721435547,72.0649642944336,350.7987976074219,143.31488037109375,75.06324768066406,354.142578125,146.97695922851562,69.06034851074219,348.4332580566406,142.86595153808594,66.95513916015625,349.5256042480469,151.03907775878906,65.70203399658203,347.4674987792969,150.1063232421875,64.36924743652344,345.47235107421875,149.54031372070312,56.22016525268555,319.2829895019531,103.15279388427734,43.299713134765625,317.63336181640625,108.62997436523438,47.48664474487305,339.82342529296875,122.67205047607422,57.36543273925781,347.92340087890625,140.33485412597656,59.46986770629883,344.9267578125,139.1446533203125,63.90617370605469,341.41998291015625,140.41087341308594,57.36543273925781,347.92340087890625,140.33485412597656,59.94150161743164,346.5795593261719,148.3337860107422,58.90068054199219,348.9381103515625,148.1609344482422,57.98405838012695,351.2196044921875,148.3394012451172,58.085350036621094,345.8606872558594,139.75645446777344,60.43815231323242,344.6282958984375,147.08001708984375,56.22016525268555,319.2829895019531,103.15279388427734,54.71683883666992,315.27557373046875,111.37689208984375,55.460960388183594,310.3238525390625,118.86734008789062,50.011451721191406,339.5439453125,60.14571762084961,26.068012237548828,311.7215270996094,43.34332275390625,39.370819091796875,341.86083984375,64.3177490234375,24.832775115966797,342.4423828125,63.6247444152832,42.22466278076172,346.8094787597656,69.5108871459961,69.99638366699219,343.19390869140625,60.68144989013672,76.57451629638672,378.1986999511719,79.68378448486328,82.2372055053711,412.0298156738281,98.35614776611328,92.8980712890625,409.97711181640625,88.6450424194336,83.7845458984375,417.8654479980469,103.16792297363281
51,0.0,0.0,0.0,59.50962829589844,340.93719482421875,60.51995849609375,60.7596549987793,332.14697265625,76.03570556640625,58.35340118408203,325.582763671875,89.70164489746094,55.947147369384766,319.0185546875,103.36758422851562,69.3741226196289,316.2378845214844,106.77975463867188,69.54447174072266,334.20355224609375,126.38369750976562,69.48859405517578,348.86370849609375,142.51596069335938,70.84481048583984,350.6707763671875,142.56851196289062,69.00599670410156,351.8332824707031,150.0489044189453,72.50434875488281,351.2296447753906,142.87997436523438,75.55082702636719,354.653564453125,146.4263916015625,69.48859405517578,348.86370849609375,142.51596069335938,67.48477935791016,350.1298828125,150.6894989013672,66.21533966064453,348.0565185546875,149.81446838378906,64.87081146240234,346.0538330078125,149.30572509765625,55.947147369384766,319.0185546875,103.36758422851562,43.06515121459961,317.3204040527344,108.91998291015625,47.24875259399414,339.71063232421875,122.64166259765625,57.48047637939453,347.8102722167969,140.10252380371094,59.555023193359375,344.79937744140625,138.89605712890625,63.96961975097656,341.2845458984375,140.2146759033203,57.48047637939453,347.8102722167969,140.10252380371094,60.0971794128418,346.43914794921875,148.0836181640625,59.07281494140625,348.8055725097656,147.919677734375,58.17430114746094,351.0935974121094,148.10618591308594,58.18138885498047,345.7428894042969,139.51754760742188,60.571388244628906,344.4855651855469,146.82481384277344,55.947147369384766,319.0185546875,103.36758422851562,54.49384689331055,315.0539855957031,111.62136840820312,55.29563522338867,310.1201171875,119.11763000488281,49.52302551269531,339.0777282714844,60.27109146118164,25.99493408203125,310.9533386230469,43.38488006591797,39.22829055786133,341.2589111328125,64.16273498535156,24.6937313079834,341.8439025878906,63.40267562866211,42.06324768066406,346.2490539550781,69.32637786865234,69.49620819091797,342.7967224121094,60.76885986328125,76.18708801269531,377.8070373535156,79.72156524658203,82.03083801269531,411.6501159667969,98.31637573242188,92.70952606201172,409.49249267578125,88.64769744873047,83.60397338867188,417.48822021484375,103.11669921875
52,0.0,0.0,0.0,59.00341796875,340.35369873046875,60.607730865478516,60.29490661621094,331.5903015136719,76.13523864746094,57.96927261352539,325.0917663574219,89.84645080566406,55.64363479614258,318.5932312011719,103.55765533447266,69.1032943725586,315.927001953125,106.93222045898438,69.61151885986328,334.1546325683594,126.28692626953125,69.8333969116211,349.03094482421875,142.21865844726562,71.1955795288086,350.8342590332031,142.2211456298828,69.4721450805664,352.125732421875,149.70785522460938,72.86123657226562,351.3929138183594,142.4985809326172,75.96517944335938,354.8773498535156,145.93450927734375,69.8333969116211,349.03094482421875,142.21865844726562,67.95562744140625,350.43804931640625,150.39907836914062,66.66714477539062,348.3545837402344,149.57742309570312,65.30926513671875,346.3481140136719,149.1219024658203,55.64363479614258,318.5932312011719,103.55765533447266,42.79926300048828,316.8336486816406,109.17767333984375,46.94965362548828,339.41534423828125,122.59221649169922,57.526126861572266,347.5654602050781,139.8226318359375,59.57340621948242,344.5381774902344,138.61058044433594,63.95591735839844,341.00494384765625,139.98580932617188,57.526126861572266,347.5654602050781,139.8226318359375,60.15840530395508,346.17724609375,147.79563903808594,59.151790618896484,348.5514221191406,147.6341094970703,58.271575927734375,350.8464050292969,147.82264709472656,58.209136962890625,345.49249267578125,139.23619079589844,60.613372802734375,344.21954345703125,146.53607177734375,55.64363479614258,318.5932312011719,103.55765533447266,54.23902130126953,314.6683654785156,111.83879089355469,55.11658477783203,309.73052978515625,119.32395935058594,49.02341079711914,338.45806884765625,60.367984771728516,25.89010238647461,310.0572814941406,43.39909744262695,39.0713996887207,340.5075988769531,63.9976692199707,24.540529251098633,341.1006164550781,63.175899505615234,41.890926361083984,345.5342102050781,69.13431549072266,68.98344421386719,342.2492980957031,60.847503662109375,75.78797912597656,377.2615966796875,79.756103515625,81.78297424316406,411.1114501953125,98.29036712646484,92.42264556884766,408.91485595703125,88.58749389648438,83.38770294189453,416.951171875,103.07829284667969
53,0.0,0.0,0.0,58.5078239440918,339.898681640625,60.7531623840332,59.835357666015625,331.1662292480469,76.29507446289062,57.60089111328125,324.7294921875,90.05052947998047,55.366424560546875,318.29278564453125,103.80596923828125,68.86284637451172,315.752685546875,107.13059997558594,69.63643646240234,334.15911865234375,126.30648040771484,70.07652282714844,349.1830139160156,142.0945587158203,71.44166564941406,350.9839172363281,142.0675811767578,69.81776428222656,352.3272705078125,149.56739807128906,73.11170959472656,351.5413818359375,142.31971740722656,76.25968170166016,355.0537109375,145.6864776611328,70.07652282714844,349.1830139160156,142.0945587158203,68.30751037597656,350.6467590332031,150.2892608642578,67.00495147705078,348.5602722167969,149.498046875,65.63787841796875,346.5533142089844,149.07333374023438,55.366424560546875,318.29278564453125,103.80596923828125,42.56193161010742,316.46405029296875,109.49451446533203,46.668540954589844,339.22406005859375,122.61805725097656,57.6126823425293,347.37945556640625,139.61480712890625,59.63261032104492,344.3346862792969,138.40060424804688,63.96036911010742,340.75714111328125,139.83346557617188,57.6126823425293,347.37945556640625,139.61480712890625,60.20754623413086,345.94354248046875,147.5916290283203,59.225582122802734,348.3282470703125,147.43353271484375,58.368186950683594,350.6315612792969,147.62564086914062,58.27629852294922,345.30120849609375,139.0248260498047,60.64626693725586,343.98468017578125,146.32818603515625,55.366424560546875,318.29278564453125,103.80596923828125,54.01688003540039,314.40521240234375,112.11381530761719,54.99618148803711,309.44195556640625,119.56946563720703,48.534263610839844,337.9684143066406,60.5205078125,25.765361785888672,309.3130187988281,43.48695373535156,38.92233657836914,339.89349365234375,63.907501220703125,24.395132064819336,340.5011291503906,63.033241271972656,41.73210525512695,344.95330810546875,69.016845703125,68.48138427734375,341.8289794921875,60.985836029052734,75.38660430908203,376.8399658203125,79.86032104492188,81.53562927246094,410.69342041015625,98.33740234375,92.21759033203125,408.3848571777344,88.70723724365234,83.1570053100586,416.5337219238281,103.11898803710938
54,0.0,0.0,0.0,58.07154083251953,339.7021484375,60.988162994384766,59.416812896728516,331.005615234375,76.54867553710938,57.27140426635742,324.6327819824219,90.34799194335938,55.12599182128906,318.25994873046875,104.14730834960938,68.6528549194336,315.8204040527344,107.4232177734375,69.61495208740234,334.3117980957031,126.50862121582031,70.2098388671875,349.40625,142.22413635253906,71.5836410522461,351.2001037597656,142.17626953125,70.05199432373047,352.5735778808594,149.69003295898438,73.25923919677734,351.7498474121094,142.4077606201172,76.45614624023438,355.26611328125,145.72393798828125,70.2098388671875,349.40625,142.22413635253906,68.54161071777344,350.90289306640625,150.43402099609375,67.2196273803711,348.82073974609375,149.66387939453125,65.83771514892578,346.8194885253906,149.26072692871094,55.12599182128906,318.25994873046875,104.14730834960938,42.358768463134766,316.38507080078125,109.9041976928711,46.482566833496094,339.2972717285156,122.75466918945312,57.847503662109375,347.3087463378906,139.54241943359375,59.82539749145508,344.2406005859375,138.31797790527344,64.06355285644531,340.5730895996094,139.79066467285156,57.847503662109375,347.3087463378906,139.54241943359375,60.361602783203125,345.76715087890625,147.525390625,59.42033386230469,348.1689758300781,147.3795166015625,58.59978103637695,350.484619140625,147.58409118652344,58.4808464050293,345.2244873046875,138.94046020507812,60.77683639526367,343.811279296875,146.24937438964844,55.12599182128906,318.25994873046875,104.14730834960938,53.83023452758789,314.41094970703125,112.48165893554688,54.90406036376953,309.4106750488281,119.89949035644531,48.100257873535156,337.7591247558594,60.76428985595703,25.612842559814453,308.905517578125,43.69139862060547,38.788822174072266,339.59320068359375,63.93816375732422,24.26654624938965,340.2366943359375,63.00923538208008,41.59576416015625,344.6812744140625,69.0208969116211,68.04281616210938,341.64520263671875,61.212039947509766,75.14196014404297,376.6380920410156,80.048095703125,81.42957305908203,410.4763488769531,98.5063705444336,92.09103393554688,408.128662109375,88.86297607421875,83.07695007324219,416.3126525878906,103.28397369384766
55,0.0,0.0,0.0,57.64082717895508,339.537109375,61.249149322509766,58.99528884887695,330.8824157714844,76.83216857910156,56.95276641845703,324.570556640625,90.675048828125,54.910247802734375,318.2586975097656,104.51792907714844,68.46481323242188,315.9042663574219,107.74116516113281,69.52300262451172,334.408935546875,126.80857849121094,70.19673156738281,349.5147705078125,142.50997924804688,71.57383728027344,351.30615234375,142.46377563476562,70.07820892333984,352.6500549316406,149.99012756347656,73.25153350830078,351.8515625,142.690185546875,76.46278381347656,355.3565979003906,146.00437927246094,70.19673156738281,349.5147705078125,142.50997924804688,68.56784057617188,350.97906494140625,150.7335662841797,67.23837280273438,348.9028625488281,149.9603271484375,65.85075378417969,346.90606689453125,149.55465698242188,54.910247802734375,318.2586975097656,104.51792907714844,42.18425369262695,316.3462219238281,110.35320281982422,46.36739730834961,339.39190673828125,122.94314575195312,58.17947769165039,347.1234130859375,139.5525665283203,60.10720443725586,344.030517578125,138.31045532226562,64.22908020019531,340.2405700683594,139.80307006835938,58.17947769165039,347.1234130859375,139.5525665283203,60.5750732421875,345.43145751953125,147.54151916503906,59.684844970703125,347.85382080078125,147.41604614257812,58.90974426269531,350.18316650390625,147.64114379882812,58.776451110839844,345.0341491699219,138.9310760498047,60.96391296386719,343.4833984375,146.24539184570312,54.910247802734375,318.2586975097656,104.51792907714844,53.67662811279297,314.4465637207031,112.87859344482422,54.84634017944336,309.4061584472656,120.25463104248047,47.66952133178711,337.5930480957031,61.036136627197266,25.387601852416992,308.58099365234375,43.96234893798828,38.65467071533203,339.3525085449219,64.02152252197266,24.137279510498047,340.05230712890625,63.05757522583008,41.47312927246094,344.46392822265625,69.07440185546875,67.61213684082031,341.4811706542969,61.46217727661133,74.92657470703125,376.4443359375,80.2710189819336,81.45925903320312,410.2592468261719,98.68692016601562,92.13703155517578,407.7912292480469,89.09175109863281,83.14241027832031,416.0894775390625,103.4594955444336
56,0.0,0.0,0.0,57.213951110839844,339.338623046875,61.525474548339844,58.563262939453125,330.73114013671875,77.13507080078125,56.62421798706055,324.4767761230469,91.01885986328125,54.6851692199707,318.222412109375,104.90265655517578,68.26020812988281,315.92169189453125,108.07816314697266,69.33651733398438,334.3817443847656,127.18775939941406,70.02486419677734,349.4512634277344,142.92337036132812,71.40852355957031,351.2375793457031,142.87759399414062,69.9216079711914,352.5822448730469,150.40553283691406,73.08832550048828,351.7767333984375,143.103515625,76.30673217773438,355.2769470214844,146.41586303710938,70.02486419677734,349.4512634277344,142.92337036132812,68.4054946899414,350.9164123535156,151.148681640625,67.06800079345703,348.84564208984375,150.37481689453125,65.67284393310547,346.8541564941406,149.96859741210938,54.6851692199707,318.222412109375,104.90265655517578,41.99602508544922,316.2962646484375,110.81319427490234,46.27997970581055,339.4592590332031,123.1514663696289,58.53377151489258,346.75592041015625,139.63714599609375,60.396236419677734,343.6357421875,138.36402893066406,64.3802719116211,339.694580078125,139.8392333984375,58.53377151489258,346.75592041015625,139.63714599609375,60.80910873413086,344.8799133300781,147.6201629638672,59.980430603027344,347.3253479003906,147.52491760253906,59.26113510131836,349.6695251464844,147.77978515625,59.08479690551758,344.66241455078125,138.9881134033203,61.162113189697266,342.94329833984375,146.29690551757812,54.6851692199707,318.222412109375,104.90265655517578,53.514041900634766,314.4449768066406,113.28802490234375,54.743896484375,309.3755798339844,120.63436126708984,47.23877716064453,337.4130859375,61.325958251953125,25.097198486328125,308.2811279296875,44.27375030517578,38.512779235839844,339.11712646484375,64.13410186767578,24.001802444458008,339.8980712890625,63.13649368286133,41.35258865356445,344.248046875,69.15512084960938,67.18913269042969,341.2641906738281,61.725013732910156,74.804443359375,376.1800537109375,80.50232696533203,81.6411361694336,409.9549865722656,98.88125610351562,92.26791381835938,407.4071350097656,89.25038146972656,83.38219451904297,415.7749938964844,103.64552307128906
57,0.0,0.0,0.0,56.78030776977539,339.2254333496094,61.8517951965332,58.12721633911133,330.6703796386719,77.49039459228516,56.308902740478516,324.46673583984375,91.4132308959961,54.49059295654297,318.2630920410156,105.33606719970703,68.08126068115234,316.0008544921875,108.47213745117188,69.15181732177734,334.3877868652344,127.6524429321289,69.835205078125,349.3974609375,143.44540405273438,71.22496032714844,351.17919921875,143.4055633544922,69.71473693847656,352.5254211425781,150.9285888671875,72.90569305419922,351.712646484375,143.63790893554688,76.11625671386719,355.20977783203125,146.9611053466797,69.835205078125,349.3974609375,143.44540405273438,68.19035339355469,350.8642578125,151.6653594970703,66.8488540649414,348.79827880859375,150.88560485839844,65.4485855102539,346.8116455078125,150.47329711914062,54.49059295654297,318.2630920410156,105.33606719970703,41.845977783203125,316.3221740722656,111.33651733398438,46.19478225708008,339.592529296875,123.447998046875,58.80696487426758,346.39678955078125,139.87388610839844,60.6049919128418,343.2528381347656,138.567138671875,64.44517517089844,339.1572570800781,140.002685546875,58.80696487426758,346.39678955078125,139.87388610839844,60.95622634887695,344.3353271484375,147.84608459472656,60.18868637084961,346.80169677734375,147.78343200683594,59.52454376220703,349.1584167480469,148.07017517089844,59.31296157836914,344.30120849609375,139.19558715820312,61.27481460571289,342.4124450683594,146.49441528320312,54.49059295654297,318.2630920410156,105.33606719970703,53.39238739013672,314.51629638671875,113.7450180053711,54.656471252441406,309.4306945800781,121.07430267333984,46.80033874511719,337.32305908203125,61.67067337036133,24.80584144592285,308.0631103515625,44.64732360839844,38.366432189941406,338.9697265625,64.29833984375,23.8631534576416,339.8337707519531,63.25833511352539,41.22614288330078,344.12213134765625,69.28599548339844,66.76028442382812,341.1277770996094,62.03293991088867,74.68814086914062,375.99041748046875,80.7797622680664,81.94037628173828,409.719482421875,99.08340454101562,92.58451080322266,406.9716491699219,89.52698516845703,83.74321746826172,415.5284423828125,103.83812713623047
58,0.0,0.0,0.0,56.3797607421875,339.3257751464844,62.262027740478516,57.710899353027344,330.8260498046875,77.93211364746094,56.00790786743164,324.6697692871094,91.89051055908203,54.30491256713867,318.5135192871094,105.8488998413086,67.89954376220703,316.2544250488281,108.97001647949219,68.99969482421875,334.5494384765625,128.236328125,69.70698547363281,349.4841613769531,144.09913635253906,71.10673522949219,351.2580871582031,144.06114196777344,69.57264709472656,352.6295166015625,151.5747833251953,72.78941345214844,351.78277587890625,144.29933166503906,75.99866485595703,355.2792053222656,147.62454223632812,69.70698547363281,349.4841613769531,144.09913635253906,68.0360336303711,350.978515625,152.3088836669922,66.6863784790039,348.9181823730469,151.52810668945312,65.27687072753906,346.93841552734375,151.1143798828125,54.30491256713867,318.5135192871094,105.8488998413086,41.70571517944336,316.5737609863281,111.94450378417969,46.08452606201172,339.93951416015625,123.85987854003906,58.922454833984375,346.2876892089844,140.29344177246094,60.65388488769531,343.11932373046875,138.95602416992188,64.35608673095703,338.87841796875,140.330810546875,58.922454833984375,346.2876892089844,140.29344177246094,60.980255126953125,344.0765686035156,148.24966430664062,60.270626068115234,346.5607604980469,148.21441650390625,59.65993118286133,348.9284973144531,148.52769470214844,59.38322830200195,344.1895751953125,139.59117126464844,61.26131057739258,342.1639404296875,146.87530517578125,54.30491256713867,318.5135192871094,105.8488998413086,53.27635955810547,314.7953186035156,114.27933502197266,54.51887512207031,309.6947937011719,121.60195922851562,46.391849517822266,337.46380615234375,62.10053634643555,24.5499267578125,308.0821533203125,45.09035110473633,38.185028076171875,339.0741882324219,64.55437469482422,23.70219612121582,340.05889892578125,63.34967803955078,41.03891372680664,344.2537841796875,69.51708221435547,66.36768341064453,341.187744140625,62.42355728149414,74.69328308105469,375.978759765625,81.13095092773438,82.30824279785156,409.6441650390625,99.40447998046875,92.90253448486328,406.79278564453125,89.82303619384766,84.17745208740234,415.4375,104.15264892578125
59,0.0,0.0,0.0,55.933921813964844,339.1139831542969,62.5987548828125,57.23586654663086,330.6718444824219,78.30238342285156,55.64582061767578,324.5589599609375,92.29312896728516,54.0557746887207,318.4460754394531,106.28387451171875,67.6473617553711,316.17144775390625,109.40699005126953,68.81038665771484,334.3633117675781,128.76705932617188,69.56893920898438,349.2138671875,144.70628356933594,70.9797134399414,350.97906494140625,144.66909790039062,69.41998291015625,352.3836975097656,152.1713104248047,72.66448211669922,351.4941711425781,144.91331481933594,75.87410736083984,354.9919128417969,148.23678588867188,69.56893920898438,349.2138671875,144.70628356933594,67.86994171142578,350.74444580078125,152.90359497070312,66.51121520996094,348.6899719238281,152.12313842773438,65.09146881103516,346.71759033203125,151.709228515625,54.0557746887207,318.4460754394531,106.28387451171875,41.50566482543945,316.5111999511719,112.48145294189453,45.85575866699219,339.960205078125,124.24285888671875,58.749244689941406,345.9886474609375,140.753173828125,60.43733215332031,342.8006896972656,139.4069366455078,64.01695251464844,338.44256591796875,140.739013671875,58.749244689941406,345.9886474609375,140.753173828125,60.695919036865234,343.6819152832031,148.71022033691406,60.029998779296875,346.1783447265625,148.68775939941406,59.45779800415039,348.5539855957031,149.0137939453125,59.17978286743164,343.8881530761719,140.03890991210938,60.956111907958984,341.77508544921875,147.32374572753906,54.0557746887207,318.4460754394531,106.28387451171875,53.095436096191406,314.75408935546875,114.73384094238281,54.27521514892578,309.638427734375,122.05625915527344,45.93657684326172,337.3019104003906,62.45348358154297,24.344223022460938,307.7648620605469,45.39386749267578,37.940338134765625,338.8729248046875,64.699462890625,23.46991729736328,339.89447021484375,63.3816032409668,40.77532196044922,344.0842590332031,69.63975524902344,65.93128967285156,340.9260559082031,62.74405288696289,74.64862060546875,375.6434020996094,81.40983581542969,82.64718627929688,409.242919921875,99.6407241821289,93.25405883789062,406.2122802734375,90.12846374511719,84.57307434082031,415.02105712890625,104.38478088378906
